2021-06-29 16:37:08.087 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-07-05 16:11:51.597 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@59bcf4e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:11:51.600 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@63da067 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:15:16.111 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-07-05 16:15:16.631 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType java.lang.Integer[]
2021-07-05 16:16:08.048 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-07-05 16:16:08.587 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType java.lang.Integer[]
2021-07-05 16:21:56.905 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3955e601 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.907 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@20905eed (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.909 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3663c110 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.910 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2fdb0320 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.911 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2a8e7443 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.912 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@8cb20c9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.914 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@20880b81 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.915 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@57bdceb3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.916 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@ec8946b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.916 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5f542013 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.917 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3fe0ec7b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.918 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6116562 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.919 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4cb0d207 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.920 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@329a373a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.921 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@aa18626 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.923 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2ebccf08 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.924 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@28aafc4f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.925 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@19ce5ccf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.927 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@340ce25e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:21:56.930 [http-nio-8081-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7c80bf58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.127 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@d4da9f8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.129 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7b5c288 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.130 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@42b74c1a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.132 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@22552fdd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.133 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@73bfcef8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.135 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5ab7f385 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.137 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2298b355 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.139 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@29b84b1c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.141 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@247d98dd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.144 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@41b37c0c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.149 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@26d66d74 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.151 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4d5d2219 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.153 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5aee01f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.156 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5f27afba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.158 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4a0fc4e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.160 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6ee66a55 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.162 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1c3ac18e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.165 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7e82f7cc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.167 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4a9e2c07 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:22:37.170 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@17f753c3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.655 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3a98f4bd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.656 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@30609fcd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.658 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@756207a5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.661 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@8a238a8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.663 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@44ddf7df (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.664 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@70f7967e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.665 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@154df8ea (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.667 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@c33e593 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.668 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@27fb88c5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.669 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6bf3be22 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.670 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1103811e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.671 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@28ff1d0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.673 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7949ece4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.674 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@f3d4f41 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.676 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2bb34c9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.677 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7fc7543f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.678 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@49dfa9ef (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.679 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2c7db0d2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.681 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@773bd4e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:23:15.683 [http-nio-8081-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@3298109c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:27:47.511 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m46s943ms972µs700ns).
2021-07-05 16:28:09.049 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-07-05 16:28:09.464 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType java.lang.Integer[]
2021-07-05 16:31:30.006 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m4s74ms519µs).
2021-07-05 16:36:51.706 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.pzhu.youzaiyouzai.supermarket.admin]' package. Please check your configuration.
2021-07-05 16:36:53.948 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-07-05 16:36:54.681 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType java.lang.Integer[]
2021-07-05 16:37:23.379 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.pzhu.youzaiyouzai.supermarket.admin]' package. Please check your configuration.
2021-07-05 16:37:25.046 [restartedMain] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2021-07-05 16:37:25.570 [restartedMain] WARN  s.d.s.w.readers.parameter.ParameterDataTypeReader - Trying to infer dataType java.lang.Integer[]
2021-07-05 16:38:14.978 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@79a61249 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.980 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1973def9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.982 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@500ea3c4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.984 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2b6e77f4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.985 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@14e671f4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.987 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@1365f187 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.988 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@36d070ac (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.989 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6ed97055 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.991 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4917d5ab (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.992 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@7542fcc7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.994 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@40a2a7d3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.995 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@65dc2c4a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.997 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@129117d7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:14.999 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@70d76586 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:15.000 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@251ec870 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:15.003 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@70212308 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:15.004 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@23af3834 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:15.006 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@227d5982 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:15.007 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@158ecb26 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:38:15.009 [http-nio-8081-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@6cce93fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.166 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4fcd096e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.169 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4535621e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.171 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@37f4dc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.172 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@27961bcd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.173 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@31fd341e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.176 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@5fb685ad (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.177 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@60180b93 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.181 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@77473c2e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.183 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2fc2ab1c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.185 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@44b2c8a4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.188 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@64561732 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.190 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@2abee1da (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.192 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@109e25da (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.195 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@42bb3885 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.197 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@16004867 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-07-05 16:41:49.199 [http-nio-8081-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.jdbc.JDBC4Connection@4beddb4c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
